"time" "coef" "e.time" "e.coef"
2023 0.13 1196.25 0.03
2027 0.13 1177.05 0.03
2032 0.12 793.46 0.03
2033 0.14 1139.46 0.04
2042 0.1 1160.445 0.03
2047 0.07 840.44 0.02
2049 0.17 824.23 0.06
2061 0.16 1155.895 0.05
2072 0.18 1216.54 0.03
2077 0.09 1023.95 0.02
2083 0.19 1097.23 0.075
2088 0.2 1272.66 0.02
2095 0.13 1170.08 0.04
2106 0.18 1187.635 0.0446065
2117 0.18 905.75 0.01
2124 0.2 855.49 0.05
2126 0.17 923.39 0.03
2130 0.14 1246.39 0.03
2141 0.2 821.55 0.03
2143 0.11 1128.51 0.03
2146 0.17 1002.63 0.03
2149 0.16 1155.33 0.04
2162 0.1 882.59 0.02
2162 0.2 886.19 0.07
2182 0.02 304.18 0.1
2213 0.15 959.48 0.07
2216 0.07 1137.06 0.0324868334700574
2233 0.15 1210.61 0.04
2290 0.2 826.04 0.05
2303 0.17 1371.515 0.05
2321 0.18 1164.88 0.03
2323 0.03 781.84 0.03
2325 0.12 925.29 0.04
2334 0.16 1231.715 0.035
2338 0.06 1176.03 0.03
2341 0.17 953.12 0.03
2353 0.12 1196.39 0.04
2358 0.19 1214.81 0.03
2370 0.04 949.28 0.02
2376 0.13 1062.27 0.02
2379 0.15 915.06 0.03
2383 0.2 1102.64 0.04
2388 0.15 1293.33 0.03
2401 0.11 1310.93 0.05
2428 0.18 941.17 0.02
2434 0.19 968.94 0.03
2444 0.17 983.94 0.02
2457 0.2 922.3 0.03
2465 0.16 1357.57 0.02
2474 0.09 959.72 0.01
2476 0.2 1487.815 0.0212881392637015
305 0.2 393.9 0.03
312 0.2 283.775 0.12
321 0.17 565.15 0.21
336 0.16 376.83 0.18
338 0.19 521.12 0.14
344 0.18 442 0.15
352 0.17 475.56 0.04
355 0.18 498.52 0.14
361 0.16 376.38 0.06
363 0.18 398.26 0.14
367 0.16 352.68 0.05
367 0.2 609.305 0.14
369 0.19 475.45 0.35
370 0.19 407.46 0.12
380 0.16 370.59 0.09
384 0.11 417.79 -1.36126228269085e-07
385 0.16 434.28 0.04
388 0.19 390.95 0.03
390 0.12 413.15 0.03
391 0.15 419.92 0.07
396 0.18 408.24 0.09
414 0.2 563.16 0.12
421 0.18 580.14 0.12
425 0.16 532.9 0.03
436 0.12 447.56 0.08
436 0.19 499.09 0.06
