"time" "coef" "e.time" "e.coef"
329 0.18 454.57 0.06
342 0.18 400.75 0.1
346 0.17 477.53 0.18
351 0.15 436.69 0.04
351 0.17 393.65 0.16
354 0.16 369.23 0.9
366 0.17 570.83 0.26
368 0.18 505.9 0.135
370 0.2 505.12 0.14
376 0.17 514.56 2.54996900042176e-05
377 0.15 463.88 0.1
380 0.16 495.29 0.08
385 0.16 493.55 0.28
389 0.12 502.09 0.16
392 0.15 516.28 0.08
394 0.17 410.19 0.08
395 0.17 366.7 -4.00286486486486e-05
396 0.14 612.83 0.16
397 0.19 523.49 0.34
400 0.14 529.09 0.035
402 0.2 562.01 0.06
407 0.18 530.25 0.03
415 0.2 513.62 -0.00400254782608696
424 0.17 530.05 0.000520269908301158
427 0.17 464.36 0.02
432 0.17 524.03 0.02
434 0.15 537.31 0.05
436 0.17 542.315 0.04
444 0.18 654.27 0.13
445 0.13 527.08 0.06
446 0.17 757.095 5.93078346699568e-05
447 0.17 566.585 0.08
449 0.13 421.96 0.05
452 0.14 495.58 0.000287817440675499
454 0.18 635.63 -0.00024688285
456 0.1 522.25 0.14
461 0.2 476.64 0.08
471 0.15 594.84 0.04
472 0.2 670.38 0.03
480 0.13 712.56 0.13
481 0.12 550.03 0.11
483 0.14 490.72 0.000187537103890895
486 0.11 631.8 0.14
490 0.2 617.33 0.07
493 0.18 538.23 0.04
495 0.15 534.77 0.03
498 0.13 517.35 0.07
499 0.17 542.25 0.03
499 0.2 597.49 -0.00587396867469879
502 0.15 703.54 0.06
503 0.11 559.6 0.12
507 0.1 612.69 0.06
509 0.14 663.59 1.34
509 0.15 645.17 2.19
510 0.09 719.68 0.08
514 0.18 427.67 0.79
519 0.13 660.675 0.025
520 0.12 663.41 0.000182246968730057
521 0.09 526.54 0.11
521 0.16 621.31 0.02
521 0.2 697.84 0.6
522 0.13 665.8 0.01
523 0.19 631.11 0.04
524 0.16 705.02 0.06
527 0.13 639.89 0.04
527 0.14 623.01 0.03
530 0.2 581.09 0.07
532 0.09 512.67 0.07
534 0.12 723.95 0.03
