"time" "coef" "e.time" "e.coef"
1322 0.16 1165.955 0.08
1324 0.05 1671.02 0.02
1324 0.09 1159.26 0.04
1325 0.13 1121.5 0.06
1327 0.15 1266.05 0.06
1329 0.19 1357.13 0.04
1336 0.11 1161.08 0.05
1336 0.17 1225.99 0.09
1338 0.19 1028.34 0.04
1340 0.15 1217.21 0.09
1341 0.07 1105.435 0.05
1342 0.07 1258.28 0.04
1343 0.19 1211.185 0.05
1344 0.16 985.07 0.055
1347 0.16 1450.79 0.03
1348 0.2 1307.78 0.04
1349 0.14 1491.18 0.04
1351 0.14 1232.44 0.07
1351 0.2 1059.86 0.06
1356 0.13 1342.79 0.02
1358 0.11 1224.265 0.04
1359 0.02 1299.61 0.02
1362 0.12 1250.66 0.04
1365 0.08 1055.605 0.05
1367 0.13 1245.475 0.07
1368 0.15 933.25 0.0117149106157958
1370 0.07 1217.87 0.03
1371 0.07 1024.09 0.05
1372 0.06 1379.065 0.04
1374 0.09 1211.84 0.05
1379 0.15 1280.43 0.05
1380 0.04 1676.27 0.03
1381 0.15 1158.065 0.04
1382 0.05 1240.11 0.04
1386 0.17 1141.37 0.04
1387 0.16 1547.02 0.03
1392 0.04 1276.4 0.04
1393 0.03 1346.94 0.03
1393 0.16 1276.03 0.03
1397 0.05 1232.91 0.04
1398 0.08 1567.19 0.04
1398 0.11 1043.365 0.06
1401 0.16 1337.27 0.02
1403 0.12 1698.72 0.05
1403 0.19 1558.72 0.06
1405 0.04 1145.52 0.04
1405 0.08 955.16 0.09
1406 0.11 1337.79 0.04
1408 0.13 1262.66 0.08
1409 0.05 1599.47 0.03
1410 0.06 1462.12 0.03
1412 0.05 1415.65 0.02
1412 0.19 1971.26 0.06
1413 0.16 1500.235 0.03
1414 0.11 1088.71 0.44
1414 0.16 1253.22 0.03
1415 0.09 1224.425 0.105
1415 0.18 1088.42 0.06
1417 0.1 1362.74 0.03
1419 0.06 1347.77 0.05
1419 0.15 1374.52 0.03
1421 0.06 1403.935 0.03
1421 0.11 1188.64 0.61
1421 0.14 1389.1 0.05
1421 0.19 1130.245 0.05
1423 0.13 1173.64 0.04
1424 0.03 1324.81 0.035
1425 0.14 1192.18 0.07
